Filename,DEVICE,MODE,DATE,TIME,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Storage Rate,Physic. Quant.,Unit Of Measure,Numb.Of Meas.Val,MEASURE_Avg,MEASURE_Median,MEASURE_Mode,MEASURE_Max,MEASURE_Min,SSPEED_Avg,SSPEED_Median,SSPEED_Mode,SSPEED_Max,SSPEED_Min
260512_0901_3906_139.csv,G 608ST-60802901,STORED,12.05.2026,09:01:06,,: B:3906,139.7 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,52.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],253,134.8227,135.29,131.76,138.45,130.18,1001.6763,1460.3,21,1477.4,15
260512_0906_31006_139.csv,G 608ST-60802901,STORED,12.05.2026,09:06:14,,: B:31006,139.7 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,52.9 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],97,38.5158,38.71,38.81,41.01,33.93,1264.6928,1474.3,1475,1475.2,13
260512_0910_3900.03_154.csv,G 608ST-60802901,STORED,12.05.2026,09:10:32,,: B:3900.03,154.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,64.0 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],62,171.3126,171.47,166.19,173.5,166.19,1467.3452,1467.85,1468.3,1468.4,1464.1
260512_0915_31001_88.csv,G 608ST-60802901,STORED,12.05.2026,09:15:08,,: B:31001,88.9 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,13.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],66,41.6837,41.6,41.68,42.66,40.82,1116.6727,1440.65,1441.6,1446.6,13
260512_0918_3901_88.csv,G 608ST-60802901,STORED,12.05.2026,09:18:16,,: B:3901,88.9 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,13.7 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],57,49.7847,51.77,43.56,53.06,43.56,1407.3667,1457.7,1457.5,1462.5,19
260512_0921_3900.02_204.csv,G 608ST-60802901,STORED,12.05.2026,09:21:58,,: B:3900.02,204.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,102.6 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],50,-192.9759,-193.165,-192.95,-187.71,-195.37,1001.418,1379.4,1379.5,1379.7,26
260512_0923_3900.02_204.csv,G 608ST-60802901,STORED,12.05.2026,09:23:18,,: B:3900.02,204.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,102.6 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],80,190.6486,191.88,177.35,194.3,177.35,1059.3637,1380.95,27,1382.3,23
260512_0932_3900.01_204.csv,G 608ST-60802901,STORED,12.05.2026,09:32:44,,: B:3900.01,204.0 mm,2.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,102.6 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],100,248.3088,247.69,233.53,262.36,233.52,1033.905,1467,1467.7,1467.9,13
260512_0937_4700.01_220.csv,G 608ST-60802901,STORED,12.05.2026,09:37:21,,: B:4700.01,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],96,-88.0576,-86.05,-82.55,-71.47,-111.37,1806.7375,1895.5,1911.4,1986.8,11
260512_0940_4700.01_168.csv,G 608ST-60802901,STORED,12.05.2026,09:40:12,,: B:4700.01,168.3 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,78.5 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],104,-43.0618,-43.54,-44.42,-37.74,-45.77,1477.7,1489.8,1488.4,1506.8,29
260512_0943_3700.01_220.csv,G 608ST-60802901,STORED,12.05.2026,09:43:13,,: B:3700.01,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],89,-97.0375,-95.39,-113.69,-83.38,-113.69,1395.2371,1509.4,1508.6,1530.7,25
260512_0950_5700.01_114.csv,G 608ST-60802901,STORED,12.05.2026,09:50:45,,: B:5700.01,114.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,1 NUM,-4.5 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],74,0.5087,0,0,2.81,-2.04,822.9473,1461.2,24,1625.3,11
