source,target,cabal,planta,tag,DN,OD_mm,WT_mm,d_m,area_m2,vel_ms,cabal_m3s,cabal_kgs,cabal_m3h,cabal_teo-real,vel_real,vel_teo-real,error
5600.01,5601.0,2.0,SS-600,5601.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,5.972259455789484,0.25086990847338675,0.7491300915266133,2.9861297278947423
24.0,56000.01,5.0,SS-6000,56000.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,26.17245310524472,0.16039802780740273,0.8396019721925972,5.234490621048944
56000.01,56002.0,5.0,SS-6000,56002.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,2.9722594557894837,0.627174771183467,0.372825228816533,0.5944518911578965
24.0,52100.01,,SS-2100/SS-2200,52100.01,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692,0.0,1.0,0.0
52100.01,52100.02,,SS-2100/SS-2200,52100.02,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,18.50501431362692,0.0,1.0,0.0
52100.01,52100.03,,SS-2100/SS-2200,52100.03,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
52100.02,52107.0,,SS-2100/SS-2200,52107.0,65.0,76.1,3.6,0.06889999999999999,0.003728450015261999,1,0.003728450015261999,3.728450015261999,13.422420054943197,13.422420054943197,0.0,1.0,0.0
52100.02,52207.0,,SS-2100/SS-2200,52207.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
52100.03,52100.0,,SS-2100/SS-2200,52100.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
52100.03,52200.0,,SS-2100/SS-2200,52200.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,7.972259455789484,0.0,1.0,0.0
7.0,3700.01,100.0,E-700,3700.01,200.0,220.0,5.0,0.21,0.03463605900582747,1,0.03463605900582747,34.63605900582747,124.68981242097888,24.689812420978882,0.8019901390370135,0.19800986096298645,0.2468981242097889
3700.01,1120.0,100.0,E-700,1120.0,125.0,141.0,5.0,0.131,0.013478217882063612,1,0.013478217882063612,13.478217882063612,48.521584375429,-51.478415624571,2.060938472789015,-1.0609384727890152,0.51478415624571
13.0,5800.01,100.0,SS-800,5800.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,-68.82754689475527,3.207960556148054,-2.207960556148054,0.6882754689475528
5800.01,5802.0,50.0,SS-800,5802.0,50.0,60.3,3.6,0.053099999999999994,0.0022145165154970788,1,0.0022145165154970788,2.214516515497079,7.972259455789484,-42.027740544210516,6.271747711834669,-5.271747711834669,0.8405548108842104
5800.01,5801.0,50.0,SS-800,5801.0,80.0,88.9,4.0,0.08090000000000001,0.005140281753785256,1,0.005140281753785256,5.140281753785255,18.50501431362692,-31.49498568637308,2.7019703499056718,-1.7019703499056718,0.6298997137274616
8.0,5700.01,10.0,SS-700B,5700.01,100.0,114.0,4.5,0.105,0.008659014751456867,1,0.008659014751456867,8.659014751456867,31.17245310524472,21.17245310524472,0.32079605561480545,0.6792039443851945,2.117245310524472
